question,positive_chunk,positive_chunk_id,paragraph_id
What are the health risks associated with consuming beverages sweetened with high-fructose corn syrup?,"Energy and Fructose From Beverages Sweetened With Sugar or High-Fructose Corn Syrup Pose a Health Risk for Some People
Sugar intake in the United States has increased by >40 fold since the American Revolution. The health concerns that have been raised about the amounts of sugar that are in the current diet, primarily as beverages, are the subject of this review. Just less than 50% of the added sugars (sugar and high-fructose corn syrup) are found in soft drinks and fruit drinks. The intake of soft drinks has increased 5-fold between 1950 and 2000. Most meta-analyses have shown that the risk of obesity, diabetes, cardiovascular disease, and metabolic syndrome are related to consumption of beverages sweetened with sugar or high-fructose corn syrup. Calorically sweetened beverage intake has also been related to the risk of nonalcoholic fatty liver disease, and, in men, gout. Calorically sweetened beverages contribute to obesity through their caloric load, and the intake of beverages does not produce a corresponding reduction in the intake of other food, suggesting that beverage calories are “add-on” calories. The increase in plasma triglyceride concentrations by sugar-sweetened beverages can be attributed to fructose rather than glucose in sugar. Several randomized trials of sugar-containing soft drinks versus low-calorie or calorie-free beverages show that either sugar, 50% of which is fructose, or fructose alone increases triglycerides, body weight, visceral adipose tissue, muscle fat, and liver fat. Fructose is metabolized primarily in the liver. When it is taken up by the liver, ATP decreases rapidly as the phosphate is transferred to fructose in a form that makes it easy to convert to lipid precursors. Fructose intake enhances lipogenesis and the production of uric acid. By worsening blood lipids, contributing to obesity, diabetes, fatty liver, and gout, fructose in the amounts currently consumed is hazardous to the health of some people.",0,0
How does fructose intake from sugar-sweetened beverages affect liver function and metabolism?,"Energy and Fructose From Beverages Sweetened With Sugar or High-Fructose Corn Syrup Pose a Health Risk for Some People
Sugar intake in the United States has increased by >40 fold since the American Revolution. The health concerns that have been raised about the amounts of sugar that are in the current diet, primarily as beverages, are the subject of this review. Just less than 50% of the added sugars (sugar and high-fructose corn syrup) are found in soft drinks and fruit drinks. The intake of soft drinks has increased 5-fold between 1950 and 2000. Most meta-analyses have shown that the risk of obesity, diabetes, cardiovascular disease, and metabolic syndrome are related to consumption of beverages sweetened with sugar or high-fructose corn syrup. Calorically sweetened beverage intake has also been related to the risk of nonalcoholic fatty liver disease, and, in men, gout. Calorically sweetened beverages contribute to obesity through their caloric load, and the intake of beverages does not produce a corresponding reduction in the intake of other food, suggesting that beverage calories are “add-on” calories. The increase in plasma triglyceride concentrations by sugar-sweetened beverages can be attributed to fructose rather than glucose in sugar. Several randomized trials of sugar-containing soft drinks versus low-calorie or calorie-free beverages show that either sugar, 50% of which is fructose, or fructose alone increases triglycerides, body weight, visceral adipose tissue, muscle fat, and liver fat. Fructose is metabolized primarily in the liver. When it is taken up by the liver, ATP decreases rapidly as the phosphate is transferred to fructose in a form that makes it easy to convert to lipid precursors. Fructose intake enhances lipogenesis and the production of uric acid. By worsening blood lipids, contributing to obesity, diabetes, fatty liver, and gout, fructose in the amounts currently consumed is hazardous to the health of some people.",0,0
What are the differences in metabolic effects between glucose and fructose in sugar-sweetened beverages?,"Energy and Fructose From Beverages Sweetened With Sugar or High-Fructose Corn Syrup Pose a Health Risk for Some People
Sugar intake in the United States has increased by >40 fold since the American Revolution. The health concerns that have been raised about the amounts of sugar that are in the current diet, primarily as beverages, are the subject of this review. Just less than 50% of the added sugars (sugar and high-fructose corn syrup) are found in soft drinks and fruit drinks. The intake of soft drinks has increased 5-fold between 1950 and 2000. Most meta-analyses have shown that the risk of obesity, diabetes, cardiovascular disease, and metabolic syndrome are related to consumption of beverages sweetened with sugar or high-fructose corn syrup. Calorically sweetened beverage intake has also been related to the risk of nonalcoholic fatty liver disease, and, in men, gout. Calorically sweetened beverages contribute to obesity through their caloric load, and the intake of beverages does not produce a corresponding reduction in the intake of other food, suggesting that beverage calories are “add-on” calories. The increase in plasma triglyceride concentrations by sugar-sweetened beverages can be attributed to fructose rather than glucose in sugar. Several randomized trials of sugar-containing soft drinks versus low-calorie or calorie-free beverages show that either sugar, 50% of which is fructose, or fructose alone increases triglycerides, body weight, visceral adipose tissue, muscle fat, and liver fat. Fructose is metabolized primarily in the liver. When it is taken up by the liver, ATP decreases rapidly as the phosphate is transferred to fructose in a form that makes it easy to convert to lipid precursors. Fructose intake enhances lipogenesis and the production of uric acid. By worsening blood lipids, contributing to obesity, diabetes, fatty liver, and gout, fructose in the amounts currently consumed is hazardous to the health of some people.",0,0
What is the association between hot dog consumption and childhood leukemia risk?,"Processed meats and risk of childhood leukemia (California, USA).
The relation between the intake of certain food items thought to be precursors or inhibitors of N-nitroso compounds (NOC) and risk of leukemia was investigated in a case-control study among children from birth to age 10 years in Los Angeles County, California (United States). Cases were ascertained through a population-based tumor registry from 1980 to 1987. Controls were drawn from friends and by random-digit dialing. Interviews were obtained from 232 cases and 232 controls. Food items of principal interest were: breakfast meats (bacon, sausage, ham); luncheon meats (salami, pastrami, lunch meat, corned beef, bologna); hot dogs; oranges and orange juice; and grapefruit and grapefruit juice. We also asked about intake of apples and apple juice, regular and charcoal broiled meats, milk, coffee, and coke or cola drinks. Usual consumption frequencies were determined for both parents and the child. When the risks were adjusted for each other and other risk factors, the only persistent significant associations were for children's intake of hot dogs (odds ratio [OR] = 9.5, 95 percent confidence interval [CI] = 1.6-57.6 for 12 or more hot dogs per month, trend P = 0.01), and fathers' intake of hot dogs (OR = 11.0, CI = 1.2-98.7 for highest intake category, trend P = 0.01). There was no evidence that fruit intake provided protection. While these results are compatible with the experimental animal literature and the hypothesis that human NOC intake is associated with leukemia risk, given potential biases in the data, further study of this hypothesis with more focused and comprehensive epidemiologic studies is warranted.",0,1
Do processed meats increase the risk of leukemia in children?,"Processed meats and risk of childhood leukemia (California, USA).
The relation between the intake of certain food items thought to be precursors or inhibitors of N-nitroso compounds (NOC) and risk of leukemia was investigated in a case-control study among children from birth to age 10 years in Los Angeles County, California (United States). Cases were ascertained through a population-based tumor registry from 1980 to 1987. Controls were drawn from friends and by random-digit dialing. Interviews were obtained from 232 cases and 232 controls. Food items of principal interest were: breakfast meats (bacon, sausage, ham); luncheon meats (salami, pastrami, lunch meat, corned beef, bologna); hot dogs; oranges and orange juice; and grapefruit and grapefruit juice. We also asked about intake of apples and apple juice, regular and charcoal broiled meats, milk, coffee, and coke or cola drinks. Usual consumption frequencies were determined for both parents and the child. When the risks were adjusted for each other and other risk factors, the only persistent significant associations were for children's intake of hot dogs (odds ratio [OR] = 9.5, 95 percent confidence interval [CI] = 1.6-57.6 for 12 or more hot dogs per month, trend P = 0.01), and fathers' intake of hot dogs (OR = 11.0, CI = 1.2-98.7 for highest intake category, trend P = 0.01). There was no evidence that fruit intake provided protection. While these results are compatible with the experimental animal literature and the hypothesis that human NOC intake is associated with leukemia risk, given potential biases in the data, further study of this hypothesis with more focused and comprehensive epidemiologic studies is warranted.",0,1
Can fruit consumption reduce the risk of leukemia in children?,"Processed meats and risk of childhood leukemia (California, USA).
The relation between the intake of certain food items thought to be precursors or inhibitors of N-nitroso compounds (NOC) and risk of leukemia was investigated in a case-control study among children from birth to age 10 years in Los Angeles County, California (United States). Cases were ascertained through a population-based tumor registry from 1980 to 1987. Controls were drawn from friends and by random-digit dialing. Interviews were obtained from 232 cases and 232 controls. Food items of principal interest were: breakfast meats (bacon, sausage, ham); luncheon meats (salami, pastrami, lunch meat, corned beef, bologna); hot dogs; oranges and orange juice; and grapefruit and grapefruit juice. We also asked about intake of apples and apple juice, regular and charcoal broiled meats, milk, coffee, and coke or cola drinks. Usual consumption frequencies were determined for both parents and the child. When the risks were adjusted for each other and other risk factors, the only persistent significant associations were for children's intake of hot dogs (odds ratio [OR] = 9.5, 95 percent confidence interval [CI] = 1.6-57.6 for 12 or more hot dogs per month, trend P = 0.01), and fathers' intake of hot dogs (OR = 11.0, CI = 1.2-98.7 for highest intake category, trend P = 0.01). There was no evidence that fruit intake provided protection. While these results are compatible with the experimental animal literature and the hypothesis that human NOC intake is associated with leukemia risk, given potential biases in the data, further study of this hypothesis with more focused and comprehensive epidemiologic studies is warranted.",0,1
What are the health benefits of adhering to a healthy lifestyle?,"Healthy living is the best revenge: findings from the European Prospective Investigation Into Cancer and Nutrition-Potsdam study.
BACKGROUND: Our objective was to describe the reduction in relative risk of developing major chronic diseases such as cardiovascular disease, diabetes, and cancer associated with 4 healthy lifestyle factors among German adults. METHODS: We used data from 23,153 German participants aged 35 to 65 years from the European Prospective Investigation Into Cancer and Nutrition-Potsdam study. End points included confirmed incident type 2 diabetes mellitus, myocardial infarction, stroke, and cancer. The 4 factors were never smoking, having a body mass index lower than 30 (calculated as weight in kilograms divided by height in meters squared), performing 3.5 h/wk or more of physical activity, and adhering to healthy dietary principles (high intake of fruits, vegetables, and whole-grain bread and low meat consumption). The 4 factors (healthy, 1 point; unhealthy, 0 points) were summed to form an index that ranged from 0 to 4. RESULTS: During a mean follow-up of 7.8 years, 2006 participants developed new-onset diabetes (3.7%), myocardial infarction (0.9%), stroke (0.8%), or cancer (3.8%). Fewer than 4% of participants had zero healthy factors, most had 1 to 3 healthy factors, and approximately 9% had 4 factors. After adjusting for age, sex, educational status, and occupational status, the hazard ratio for developing a chronic disease decreased progressively as the number of healthy factors increased. Participants with all 4 factors at baseline had a 78% (95% confidence interval [CI], 72% to 83%) lower risk of developing a chronic disease (diabetes, 93% [95% CI, 88% to 95%]; myocardial infarction, 81% [95% CI, 47% to 93%]; stroke, 50% [95% CI, -18% to 79%]; and cancer, 36% [95% CI, 5% to 57%]) than participants without a healthy factor. CONCLUSION: Adhering to 4 simple healthy lifestyle factors can have a strong impact on the prevention of chronic diseases.",0,2
How can I reduce my risk of developing chronic diseases like diabetes and cancer?,"Healthy living is the best revenge: findings from the European Prospective Investigation Into Cancer and Nutrition-Potsdam study.
BACKGROUND: Our objective was to describe the reduction in relative risk of developing major chronic diseases such as cardiovascular disease, diabetes, and cancer associated with 4 healthy lifestyle factors among German adults. METHODS: We used data from 23,153 German participants aged 35 to 65 years from the European Prospective Investigation Into Cancer and Nutrition-Potsdam study. End points included confirmed incident type 2 diabetes mellitus, myocardial infarction, stroke, and cancer. The 4 factors were never smoking, having a body mass index lower than 30 (calculated as weight in kilograms divided by height in meters squared), performing 3.5 h/wk or more of physical activity, and adhering to healthy dietary principles (high intake of fruits, vegetables, and whole-grain bread and low meat consumption). The 4 factors (healthy, 1 point; unhealthy, 0 points) were summed to form an index that ranged from 0 to 4. RESULTS: During a mean follow-up of 7.8 years, 2006 participants developed new-onset diabetes (3.7%), myocardial infarction (0.9%), stroke (0.8%), or cancer (3.8%). Fewer than 4% of participants had zero healthy factors, most had 1 to 3 healthy factors, and approximately 9% had 4 factors. After adjusting for age, sex, educational status, and occupational status, the hazard ratio for developing a chronic disease decreased progressively as the number of healthy factors increased. Participants with all 4 factors at baseline had a 78% (95% confidence interval [CI], 72% to 83%) lower risk of developing a chronic disease (diabetes, 93% [95% CI, 88% to 95%]; myocardial infarction, 81% [95% CI, 47% to 93%]; stroke, 50% [95% CI, -18% to 79%]; and cancer, 36% [95% CI, 5% to 57%]) than participants without a healthy factor. CONCLUSION: Adhering to 4 simple healthy lifestyle factors can have a strong impact on the prevention of chronic diseases.",0,2
What is the relationship between a healthy diet and the prevention of chronic diseases?,"Healthy living is the best revenge: findings from the European Prospective Investigation Into Cancer and Nutrition-Potsdam study.
BACKGROUND: Our objective was to describe the reduction in relative risk of developing major chronic diseases such as cardiovascular disease, diabetes, and cancer associated with 4 healthy lifestyle factors among German adults. METHODS: We used data from 23,153 German participants aged 35 to 65 years from the European Prospective Investigation Into Cancer and Nutrition-Potsdam study. End points included confirmed incident type 2 diabetes mellitus, myocardial infarction, stroke, and cancer. The 4 factors were never smoking, having a body mass index lower than 30 (calculated as weight in kilograms divided by height in meters squared), performing 3.5 h/wk or more of physical activity, and adhering to healthy dietary principles (high intake of fruits, vegetables, and whole-grain bread and low meat consumption). The 4 factors (healthy, 1 point; unhealthy, 0 points) were summed to form an index that ranged from 0 to 4. RESULTS: During a mean follow-up of 7.8 years, 2006 participants developed new-onset diabetes (3.7%), myocardial infarction (0.9%), stroke (0.8%), or cancer (3.8%). Fewer than 4% of participants had zero healthy factors, most had 1 to 3 healthy factors, and approximately 9% had 4 factors. After adjusting for age, sex, educational status, and occupational status, the hazard ratio for developing a chronic disease decreased progressively as the number of healthy factors increased. Participants with all 4 factors at baseline had a 78% (95% confidence interval [CI], 72% to 83%) lower risk of developing a chronic disease (diabetes, 93% [95% CI, 88% to 95%]; myocardial infarction, 81% [95% CI, 47% to 93%]; stroke, 50% [95% CI, -18% to 79%]; and cancer, 36% [95% CI, 5% to 57%]) than participants without a healthy factor. CONCLUSION: Adhering to 4 simple healthy lifestyle factors can have a strong impact on the prevention of chronic diseases.",0,2
What are the potential sources of arsenic in organic food products?,"Arsenic, Organic Foods, and Brown Rice Syrup
Background: Rice can be a major source of inorganic arsenic (Asi) for many sub-populations. Rice products are also used as ingredients in prepared foods, some of which may not be obviously rice based. Organic brown rice syrup (OBRS) is used as a sweetener in organic food products as an alternative to high-fructose corn syrup. We hypothesized that OBRS introduces As into these products. Objective: We determined the concentration and speciation of As in commercially available brown rice syrups and in products containing OBRS, including toddler formula, cereal/energy bars, and high-energy foods used by endurance athletes. Methods: We used inductively coupled plasma mass spectrometry (ICP-MS) and ion chromatography coupled to ICP-MS to determine total As (Astotal) concentrations and As speciation in products purchased via the Internet or in stores in the Hanover, New Hampshire, area. Discussion: We found that OBRS can contain high concentrations of Asi and dimethyl-arsenate (DMA). An “organic” toddler milk formula containing OBRS as the primary ingredient had Astotal concentrations up to six times the U.S. Environmental Protection Agency safe drinking water limit. Cereal bars and high-energy foods containing OBRS also had higher As concentrations than equivalent products that did not contain OBRS. Asi was the main As species in most food products tested in this study. Conclusions: There are currently no U.S. regulations applicable to As in food, but our findings suggest that the OBRS products we evaluated may introduce significant concentrations of Asi into an individual’s diet. Thus, we conclude that there is an urgent need for regulatory limits on As in food.",0,3
