[UE1] [2025-07-19 11:34:39] [  5]   0.00-1.00   sec  3.77 MBytes  31.7 Mbits/sec  0.228 ms  0/2733 (0%)
[UE1] [2025-07-19 11:34:40] [  5]   1.00-2.00   sec  3.58 MBytes  30.0 Mbits/sec  0.152 ms  0/2593 (0%)
[UE1] [2025-07-19 11:34:41] [  5]   2.00-3.00   sec  3.58 MBytes  30.0 Mbits/sec  0.265 ms  0/2589 (0%)
[UE1] [2025-07-19 11:34:42] [  5]   3.00-4.00   sec  3.57 MBytes  30.0 Mbits/sec  0.184 ms  0/2587 (0%)
[UE1] [2025-07-19 11:34:43] [  5]   4.00-5.00   sec  3.58 MBytes  30.0 Mbits/sec  0.177 ms  0/2591 (0%)
[UE1] [2025-07-19 11:34:44] [  5]   5.00-6.00   sec  3.58 MBytes  30.0 Mbits/sec  0.255 ms  0/2589 (0%)
[UE1] [2025-07-19 11:34:45] [  5]   6.00-7.00   sec  3.58 MBytes  30.0 Mbits/sec  0.190 ms  0/2592 (0%)
[UE1] [2025-07-19 11:34:46] [  5]   7.00-8.00   sec  3.58 MBytes  30.0 Mbits/sec  0.235 ms  0/2590 (0%)
[UE1] [2025-07-19 11:34:47] [  5]   8.00-9.00   sec  3.58 MBytes  30.0 Mbits/sec  0.309 ms  0/2590 (0%)
[UE1] [2025-07-19 11:34:48] [  5]   9.00-10.00  sec  3.58 MBytes  30.0 Mbits/sec  0.154 ms  0/2590 (0%)
[UE1] [2025-07-19 11:34:49] [  5]  10.00-11.00  sec  3.57 MBytes  30.0 Mbits/sec  0.125 ms  0/2588 (0%)
[UE1] [2025-07-19 11:34:50] [  5]  11.00-12.00  sec  3.58 MBytes  30.0 Mbits/sec  0.118 ms  0/2591 (0%)
[UE1] [2025-07-19 11:34:51] [  5]  12.00-13.00  sec  3.58 MBytes  30.0 Mbits/sec  0.238 ms  0/2591 (0%)
[UE1] [2025-07-19 11:34:52] [  5]  13.00-14.00  sec  3.58 MBytes  30.0 Mbits/sec  0.135 ms  0/2589 (0%)
[UE1] [2025-07-19 11:34:53] [  5]  14.00-15.00  sec  3.58 MBytes  30.0 Mbits/sec  0.206 ms  0/2589 (0%)
[UE1] [2025-07-19 11:34:54] [  5]  15.00-16.00  sec  3.58 MBytes  30.0 Mbits/sec  0.200 ms  0/2590 (0%)
